SKU,NAME,ISDEFAULT,HASH,URL
AAHC200P,AAHC200P_1.jpg,1,edc0e732049e12e2767c5722e75897f473283c6d,https://s3.amazonaws.com/hydrofarm_pubimages/AAHC200P_1.jpg
AAHC200P,AAHC200P_2.jpg,0,9ba6f39b1f2330db84010de37ab55a8ab2e1112c,https://s3.amazonaws.com/hydrofarm_pubimages/AAHC200P_2.jpg
AAHC75P,AAHC75P_1.jpg,1,559a5a2ba721c30fd0c3eeaccd26de003fc4dd58,https://s3.amazonaws.com/hydrofarm_pubimages/AAHC75P_1.jpg
AAHC75P,AAHC75P_2.jpg,0,9b675ce033dd4887b05cf912a2ac7066d472178b,https://s3.amazonaws.com/hydrofarm_pubimages/AAHC75P_2.jpg
AAHR24W,AAHR24W_1.jpg,1,c92ad47ae27c767de9374ada52df8f7ef22cec59,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR24W_1.jpg
AAHR24W,AAHR24W_2.jpg,0,be0c7e44183253fee69980a8675a325fd45964be,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR24W_2.jpg
AAHR24W,AAHR24W_3.jpg,0,87483134656dc5eceb5c62ad7bea1127c5e6d6b6,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR24W_3.jpg
AAHR24W,AAHR24W_4.jpg,0,f21b9a88935336680d263a6d92a1de0f3cbbeae1,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR24W_4.jpg
AAHR24W,AAHR24W_5.jpg,0,8719a9a90f65d7c1b74ba6a4f9a3d8268120adbe,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR24W_5.jpg
AAHR33W,AAHR33W_1.jpg,1,680f93934786042423c62b7f326d5480b2094eb7,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR33W_1.jpg
AAHR33W,AAHR33W_2.jpg,0,e2a8eb8cbee26341b3f76e7d8aa758d912219e83,https://s3.amazonaws.com/hydrofarm_pubimages/AAHR33W_2.jpg
