ItemID,ItemNumber,ItemNumber_old,Description,Short_Desc,BrandID,Brand,CategoryID,Category,Each_Barcode,Origin_Country,img_filename,logo_filename,DateAdded,InCatalog,HF_UOM,SRP,CaseSRP,ProductFeatureA,ProductFeatureB,ProductFeatureC,ProductFeatureD,ProductFeatureE
14706,AAKDRIP6,,Active Aqua Top Drip Kit,Active Aqua Top Drip Kit,87,Active Aqua,7,Hydro Components,6.38E+11,CHINA,AAKDRIP6.jpg,15018_ActiveAqualLOGO.jpg,4/1/2013,Y,EACH,14.95,14.95,,,,,
14707,AAKEF1,,Active Aqua Ebb and Flow Kit,Active Aqua Ebb and Flow Kit,87,Active Aqua,7,Hydro Components,6.38E+11,CHINA,AAKEF1.jpg,15018_ActiveAqualLOGO.jpg,4/1/2013,Y,EACH,9.95,9.95,,,,,
15932,AAKEF2,aaefbk2,Active Aqua Fill/Drain Combo Kit,Active Aqua Fill/Drain  Kit,87,Active Aqua,7,Hydro Components,6.38E+11,CHINA,AAKEF2.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,5.95,5.95,,,,,
16791,AALR24B,,Low Rise Flood Table 2x4 feet ,Low Rise Flood Table 2x4 feet ,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AALR24B_3.jpg,15018_ActiveAqualLOGO.jpg,9/4/2014,N,EACH,49.95,49.95,,,,,
16792,AALR33B,,Low Rise Flood Table 3x3 feet ,Low Rise Flood Table 3x3 feet ,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AALR33B.jpg,15018_ActiveAqualLOGO.jpg,9/4/2014,N,EACH,54.95,54.95,,,,,
16789,AALR44B,,Low Rise Flood Table 4x4 feet ,Low Rise Flood Table 4x4 feet ,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AALR44B_3.jpg,15018_ActiveAqualLOGO.jpg,9/4/2014,N,EACH,79.95,79.95,,,,,
16790,AALR84B,,Low Rise Flood Table 4x8 feet ,Low Rise Flood Table 4x8 feet ,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AALR84B.jpg,15018_ActiveAqualLOGO.jpg,9/4/2014,N,EACH,154.95,154.95,,,,,
7645,AAPA110L,,Air Pump 12 Outlets 112W 110L/min (4/cs),Air Pump 12 Outlets 112W 110L/,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,104.95,104.95,Ideal for running several Waterfarms or multiple air stones at once,Electrical magnetic air compressor in a high quality aluminum alloy case,Wear and tear-resistant material for cylinder and piston,High pressure and high output,Comes with 12-outlet... high quality stainless steel & copper air manifold with individually controllable air outlets
8661,AAPA15L,,Air Pump 4 Outlets 6W 15L/min (16/cs),Air Pump 4 Outlets 6W 15L/min,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,AAPA15L_2.jpg,15018_ActiveAqualLOGO.jpg,4/8/2008,Y,EACH,27.95,27.95,Super silent with multi-level muffler,Adjustable pressure output via convenient dial,BPA free-safe for aquaponic use,Low power consumption,Oil free and environmentally safe
7639,AAPA25L,,Air Pump 8 Outlets 12W 25L/min (8/cs),Air Pump 8 Outlets 15W 25L/min,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,AAPA25L.jpg,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,59.95,59.95,,,,,
7643,AAPA3.2L,,Air Pump 1 Outlet 2W 3.2L/min (40/cs),Air Pump 1 Outlet 2W 3.2L/min,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,AAPA3.2L.jpg,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,9.95,9.95,,,,,
7644,AAPA45L,,Air Pump 6 Outlets 20W 45L min (12/cs),Air Pump 6 Outlets 20W 45L min,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,,15018_ActiveAqualLOGO.jpg,12/15/2006,Y,EACH,48.95,48.95,Ideal for running several Waterfarms or multiple air stones at once,Electrical magnetic air compressor in a high quality aluminum alloy case,Wear and tear-resistant material for cylinder and piston,High pressure and high output,Comes with 6-outlet... high quality stainless steel & copper air manifold with individually controllable air outlets
